$ python3 38.py
日本の記事からTFを計算中...

単語         TF    IDF      TF-IDF
----------------------------------------
年          497   1.3375   664.7384
国          155   3.0049   465.7592
関係         119   3.4651   412.3437
こと         138   2.6053   359.5286
天皇         53    6.5884   349.1861
世界         109   2.9710   323.8405
第          102   3.1677   323.1012
位          70    4.2840   299.8787
%          91    3.1786   289.2539
問題         68    4.0627   276.2628
人          104   2.6129   271.7413
経済         79    3.3432   264.1147
後          81    3.2192   260.7558
地域         73    3.4999   255.4929
時代         67    3.7750   252.9254
列島         37    6.7273   248.9084
憲法         58    4.2566   246.8847
世紀         66    3.7230   245.7211
地方         65    3.7640   244.6572
政府         82    2.8437   233.1848
