=== ポジティブな単語トップ20 ===
                単語        重み
10593   refreshing  3.415907
10675   remarkable  3.401454
9915      powerful  3.213859
6169     hilarious  3.167982
1263     beautiful  2.996387
14622    wonderful  2.967228
10145        prose  2.913257
788      appealing  2.850889
13103     terrific  2.848789
4321     enjoyable  2.791984
13492        treat  2.788488
2180       charmer  2.746997
14212      vividly  2.710281
7627       likable  2.680132
12089        solid  2.644630
2181      charming  2.638328
4802   fascinating  2.618366
5877      half-bad  2.609533
6574    impressive  2.590076
6901    intriguing  2.575214
=== ネガティブな単語トップ20 ===
                  単語        重み
7365         lacking -4.325383
7367           lacks -4.069775
14674          worst -3.999404
3543          devoid -3.641525
8216            mess -3.589351
4729         failure -3.553174
12618         stupid -3.331027
1615            bore -3.242314
5021            flat -3.222040
3456      depressing -3.176213
7780           loses -3.158916
14322          waste -3.148957
7361            lack -3.046571
8844            none -3.023476
12321      squanders -3.022189
5973          hardly -3.018397
9829            poor -2.975304
9789       pointless -2.943620
13856  unfortunately -2.933170
7793           lousy -2.915564
